name_date,radius
NORA_1997-09-25,
WILLA_2018-10-23,185.2
ORLENE_2022-10-03,148.16
HANNA_2014-10-22,
ILEANA_2024-09-14,222.24
HERMINE_2010-09-07,166.68
JERRY_1989-10-12,
LESTER_1992-08-23,
PAMELA_2021-10-13,
RICK_2009-10-21,222.24
DOLLY_2008-07-23,222.24
NARDA_2019-09-30,537.08
SERGIO_2018-10-12,333.36
ROSA_1994-10-14,
OTIS_2023-10-25,277.8
UNNAMED_2015-09-21,277.8
UNNAMED_2019-10-16,
GERT_2005-07-25,194.46
HILARY_2023-08-20,
BONNIE_2004-08-09,
LIDIA_1993-09-13,
GORDON_2000-09-15,
HELENE_2024-09-25,555.6
CALVIN_1993-07-07,
DORA_2005-07-04,
ZETA_2020-10-27,222.24
UNNAMED_2010-07-08,
KARL_2022-10-14,83.34
NORBERT_2008-10-11,
LIDIA_2023-10-11,148.16
HAROLD_2023-08-22,
FRANK_1998-08-09,
OLAF_2009-10-04,83.34
LARRY_2003-10-04,324.1
KEITH_1988-11-21,
OLAF_1997-09-28,
GILBERT_1988-09-14,
UNNAMED_1999-10-04,
ALEX_2022-06-03,111.12
BRET_1999-08-22,
ERIKA_2003-08-16,111.12
ALEX_2010-07-01,333.36
SIMON_2014-10-07,
COLIN_2016-06-05,
PATRICIA_2015-10-23,314.84
FERNAND_2019-09-04,277.8
NICHOLAS_2021-09-13,185.2
JIMENA_2009-09-02,194.46
KATIA_2017-09-08,296.32
WILMA_2005-10-21,324.1
UNNAMED_2022-08-20,
MANUEL_2013-09-19,
CARLOS_2015-06-16,240.76
UNNAMED_1994-08-30,
NATE_2011-09-11,500.04
OCTAVE_2013-10-14,425.96
BARBARA_2013-05-29,111.12
NORMA_2023-10-21,203.72
NANA_2020-09-03,
LORENZO_2007-09-28,277.8
GAMMA_2020-10-03,222.24
FAUSTO_1996-09-13,
DELTA_2020-10-07,185.2
CHRIS_2024-07-01,194.46
ILEANA_2018-08-06,
ODILE_2008-10-10,
NORBERT_2014-09-06,222.24
CARLOTTA_2018-06-17,92.6
LOWELL_2008-09-11,388.92
EARL_2016-08-04,222.24
HARVEY_2011-08-20,74.08
NADINE_2024-10-19,166.68
BERYL_2000-08-14,
HILARY_1993-08-25,
NATE_2017-10-07,203.72
ISMAEL_1995-09-14,
NEWTON_2016-09-06,240.76
BLANCA_1997-06-10,
EMILIA_2006-07-26,
JULIETTE_2013-08-29,111.12
SONIA_2013-11-04,148.16
DANIELLE_2016-06-20,129.64
OLAF_2003-10-07,463.0
RINA_2011-10-27,138.9
PAULA_2010-10-13,185.2
OLGA_2007-12-15,
UNNAMED_2018-09-19,
OLAF_2021-09-10,129.64
TRUDY_2014-10-18,305.58
JOHN_2006-08-30,64.82
IDALIA_2023-08-27,
RAMON_2017-10-04,
BLANCA_2015-06-08,240.76
BUD_2018-06-14,
LIDIA_2017-08-31,
HENRIETTE_2007-09-04,185.2
EMILY_2005-07-18,
FRANKLIN_2017-08-10,240.76
UNNAMED_2009-06-19,
NORMA_1987-09-20,
JULIETTE_2001-09-27,
JAVIER_2016-08-08,
RICK_1997-11-09,
UNNAMED_2011-10-12,83.34
BUD_2012-05-25,
JULIO_2008-08-24,
BEATRIZ_2023-06-30,129.64
PAULINE_1997-10-08,
IVO_2007-09-24,166.68
BERYL_2024-07-05,166.68
NORA_2021-08-28,203.72
LORENA_2019-09-20,148.16
HERNAN_2020-08-27,185.2
UNNAMED_1986-09-03,
KAREN_2013-10-03,111.12
UNNAMED_1994-09-26,
NORMAN_2012-09-28,222.24
HENRIETTE_1995-09-04,
UNNAMED_1999-07-12,
GABRIELLE_1995-08-11,
UNNAMED_2004-10-25,
HELENE_2012-08-17,37.04
LORENA_2013-09-06,
ODILE_2014-09-15,222.24
BEATRIZ_1993-06-19,
BORIS_1996-06-29,
PAINE_2016-09-21,
ROSA_2018-10-01,259.28
MIRIAM_2006-09-21,388.92
CRISTOBAL_2020-06-03,92.6
FELIX_2007-09-05,
MAX_2023-10-09,148.16
BORIS_2014-06-03,148.16
PAUL_2006-10-25,138.9
NORMAN_2000-09-20,
PRISCILLA_2019-10-20,444.48
CLAUDETTE_2003-07-11,222.24
ERICK_2013-07-06,
DOLORES_2021-06-19,333.36
BARRY_2013-06-19,129.64
BRET_2005-06-28,27.78
MADELINE_1998-10-18,
AGATHA_2022-05-30,148.16
JAVIER_1998-09-13,
MICHAEL_2018-10-07,453.74
HANNA_2020-07-25,185.2
DOLLY_1996-08-23,
STAN_2005-10-04,166.68
DOLLY_2014-09-02,222.24
ISELLE_2002-09-19,222.24
GERT_1993-09-20,
MARCO_2008-10-07,18.52
HARVEY_2017-08-22,
AGATHA_2010-05-29,129.64
GREG_1999-09-07,
LESTER_2022-09-17,212.98
ALBERTO_2018-05-25,
UNNAMED_1999-09-06,
KAY_2022-09-08,351.88
ALBERTO_1994-07-01,
UNNAMED_2013-09-06,
ISIS_1998-09-02,
RICHARD_2010-10-25,166.68
INGRID_2013-09-16,361.14
LISA_2022-11-02,92.6
MILTON_2024-10-07,129.64
FAY_2002-09-08,
