name_date,wind
NORA_1997-09-25,138.9
WILLA_2018-10-23,185.2
ORLENE_2022-10-03,157.42
HANNA_2014-10-22,55.56
ILEANA_2024-09-14,74.08
HERMINE_2010-09-07,111.12
JERRY_1989-10-12,46.3
LESTER_1992-08-23,222.24
PAMELA_2021-10-13,51.86
RICK_2009-10-21,98.16
DOLLY_2008-07-23,157.42
NARDA_2019-09-30,166.68
SERGIO_2018-10-12,148.16
ROSA_1994-10-14,0.00
OTIS_2023-10-25,148.16
UNNAMED_2015-09-21,74.08
UNNAMED_2019-10-16,46.3
GERT_2005-07-25,74.08
HILARY_2023-08-20,55.56
BONNIE_2004-08-09,61.12
LIDIA_1993-09-13,0.00
GORDON_2000-09-15,116.68
HELENE_2024-09-25,129.64
CALVIN_1993-07-07,175.94
DORA_2005-07-04,46.3
ZETA_2020-10-27,138.9
UNNAMED_2010-07-08,55.56
KARL_2022-10-14,64.82
NORBERT_2008-10-11,46.3
LIDIA_2023-10-11,64.82
HAROLD_2023-08-22,46.3
FRANK_1998-08-09,74.08
OLAF_2009-10-04,74.08
LARRY_2003-10-04,194.46
KEITH_1988-11-21,111.12
OLAF_1997-09-28,209.28
GILBERT_1988-09-14,277.8
UNNAMED_1999-10-04,55.56
ALEX_2022-06-03,64.82
BRET_1999-08-22,120.38
ERIKA_2003-08-16,120.38
ALEX_2010-07-01,175.94
SIMON_2014-10-07,0.00
COLIN_2016-06-05,46.3
PATRICIA_2015-10-23,138.9
FERNAND_2019-09-04,166.68
NICHOLAS_2021-09-13,98.16
JIMENA_2009-09-02,83.34
KATIA_2017-09-08,259.28
WILMA_2005-10-21,240.76
UNNAMED_2022-08-20,55.56
MANUEL_2013-09-19,55.56
CARLOS_2015-06-16,83.34
UNNAMED_1994-08-30,55.56
NATE_2011-09-11,129.64
OCTAVE_2013-10-14,172.24
BARBARA_2013-05-29,129.64
NORMA_2023-10-21,135.2
NANA_2020-09-03,55.56
LORENZO_2007-09-28,92.6
GAMMA_2020-10-03,120.38
FAUSTO_1996-09-13,212.98
DELTA_2020-10-07,166.68
CHRIS_2024-07-01,194.46
ILEANA_2018-08-06,55.56
ODILE_2008-10-10,46.3
NORBERT_2014-09-06,190.76
CARLOTTA_2018-06-17,101.86
LOWELL_2008-09-11,157.42
EARL_2016-08-04,138.9
HARVEY_2011-08-20,101.86
NADINE_2024-10-19,92.6
BERYL_2000-08-14,88.9
HILARY_1993-08-25,74.08
NATE_2017-10-07,101.86
ISMAEL_1995-09-14,129.64
NEWTON_2016-09-06,92.6
BLANCA_1997-06-10,246.32
EMILIA_2006-07-26,55.56
JULIETTE_2013-08-29,101.86
SONIA_2013-11-04,74.08
DANIELLE_2016-06-20,74.08
OLAF_2003-10-07,111.12
RINA_2011-10-27,120.38
PAULA_2010-10-13,64.82
OLGA_2007-12-15,55.56
UNNAMED_2018-09-19,37.04
OLAF_2021-09-10,166.68
TRUDY_2014-10-18,162.98
JOHN_2006-08-30,64.82
IDALIA_2023-08-27,46.3
RAMON_2017-10-04,46.3
BLANCA_2015-06-08,92.6
BUD_2018-06-14,37.04
LIDIA_2017-08-31,46.3
HENRIETTE_2007-09-04,259.28
EMILY_2005-07-18,18.52
FRANKLIN_2017-08-10,138.9
UNNAMED_2009-06-19,55.56
NORMA_1987-09-20,46.3
JULIETTE_2001-09-27,148.16
JAVIER_2016-08-08,46.3
RICK_1997-11-09,153.72
UNNAMED_2011-10-12,74.08
BUD_2012-05-25,55.56
JULIO_2008-08-24,55.56
BEATRIZ_2023-06-30,166.68
PAULINE_1997-10-08,55.56
IVO_2007-09-24,64.82
BERYL_2024-07-05,175.94
NORA_2021-08-28,148.16
LORENA_2019-09-20,120.38
HERNAN_2020-08-27,129.64
UNNAMED_1986-09-03,46.3
KAREN_2013-10-03,64.82
UNNAMED_1994-09-26,46.3
NORMAN_2012-09-28,120.38
HENRIETTE_1995-09-04,111.12
UNNAMED_1999-07-12,185.2
GABRIELLE_1995-08-11,166.68
UNNAMED_2004-10-25,55.56
HELENE_2012-08-17,74.08
LORENA_2013-09-06,37.04
ODILE_2014-09-15,148.16
BEATRIZ_1993-06-19,64.82
BORIS_1996-06-29,148.16
PAINE_2016-09-21,55.56
ROSA_2018-10-01,92.6
MIRIAM_2006-09-21,111.12
CRISTOBAL_2020-06-03,92.6
FELIX_2007-09-05,37.04
MAX_2023-10-09,120.38
BORIS_2014-06-03,74.08
PAUL_2006-10-25,74.08
NORMAN_2000-09-20,55.56
PRISCILLA_2019-10-20,74.08
CLAUDETTE_2003-07-11,92.6
ERICK_2013-07-06,46.3
DOLORES_2021-06-19,64.82
BARRY_2013-06-19,74.08
BRET_2005-06-28,64.82
MADELINE_1998-10-18,138.9
AGATHA_2022-05-30,166.68
JAVIER_1998-09-13,37.04
MICHAEL_2018-10-07,92.6
HANNA_2020-07-25,148.16
DOLLY_1996-08-23,129.64
STAN_2005-10-04,129.64
DOLLY_2014-09-02,74.08
ISELLE_2002-09-19,120.38
GERT_1993-09-20,157.42
MARCO_2008-10-07,101.86
HARVEY_2017-08-22,46.3
AGATHA_2010-05-29,74.08
GREG_1999-09-07,37.04
LESTER_2022-09-17,92.6
ALBERTO_2018-05-25,55.56
UNNAMED_1999-09-06,46.3
KAY_2022-09-08,101.86
ALBERTO_1994-07-01,55.56
UNNAMED_2013-09-06,37.04
ISIS_1998-09-02,129.64
RICHARD_2010-10-25,157.42
INGRID_2013-09-16,64.82
LISA_2022-11-02,148.16
MILTON_2024-10-07,287.06
FAY_2002-09-08,33.34
