name_date,split,flood_positive
BLANCA_1997-06-10,test,1
BORIS_2014-06-03,test,1
BRET_2005-06-28,test,1
BUD_2012-05-25,test,1
COLIN_2016-06-05,test,1
FELIX_2007-09-05,test,1
GERT_2005-07-25,test,1
HANNA_2020-07-25,test,1
HARVEY_2011-08-20,test,1
JAVIER_1998-09-13,test,0
LESTER_2022-09-17,test,0
LIDIA_1993-09-13,test,1
LORENA_2019-09-20,test,1
NORMA_2023-10-21,test,1
ODILE_2014-09-15,test,1
PAUL_2006-10-25,test,1
RAMON_2017-10-04,test,1
RICHARD_2010-10-25,test,0
ROSA_1994-10-14,test,1
SONIA_2013-11-04,test,1
TRUDY_2014-10-18,test,1
UNNAMED_1999-09-06,test,1
UNNAMED_2022-08-20,test,1
WILLA_2018-10-23,test,1
WILMA_2005-10-21,test,1
AGATHA_2010-05-29,train,1
AGATHA_2022-05-30,train,1
ALBERTO_1994-07-01,train,0
ALEX_2010-07-01,train,1
ALEX_2022-06-03,train,1
BARBARA_2013-05-29,train,1
BARRY_2013-06-19,train,1
BEATRIZ_1993-06-19,train,1
BEATRIZ_2023-06-30,train,1
BERYL_2024-07-05,train,1
BLANCA_2015-06-08,train,1
BONNIE_2004-08-09,train,1
BORIS_1996-06-29,train,1
BRET_1999-08-22,train,1
BUD_2018-06-14,train,1
CALVIN_1993-07-07,train,1
CARLOTTA_2018-06-17,train,1
CLAUDETTE_2003-07-11,train,1
CRISTOBAL_2020-06-03,train,0
DANIELLE_2016-06-20,train,1
DELTA_2020-10-07,train,1
DOLLY_1996-08-23,train,1
DOLLY_2008-07-23,train,1
DOLORES_2021-06-19,train,1
DORA_2005-07-04,train,1
EARL_2016-08-04,train,1
EMILIA_2006-07-26,train,1
EMILY_2005-07-18,train,1
ERICK_2013-07-06,train,1
ERIKA_2003-08-16,train,1
FAUSTO_1996-09-13,train,1
FAY_2002-09-08,train,0
FERNAND_2019-09-04,train,1
FRANKLIN_2017-08-10,train,1
FRANK_1998-08-09,train,1
GABRIELLE_1995-08-11,train,0
GAMMA_2020-10-03,train,1
GERT_1993-09-20,train,1
GILBERT_1988-09-14,train,1
HAROLD_2023-08-22,train,1
HARVEY_2017-08-22,train,0
HELENE_2012-08-17,train,1
HELENE_2024-09-25,train,1
HENRIETTE_1995-09-04,train,1
HENRIETTE_2007-09-04,train,1
HERMINE_2010-09-07,train,1
HERNAN_2020-08-27,train,1
HILARY_1993-08-25,train,1
HILARY_2023-08-20,train,1
IDALIA_2023-08-27,train,1
ILEANA_2018-08-06,train,1
ILEANA_2024-09-14,train,1
INGRID_2013-09-16,train,0
ISELLE_2002-09-19,train,0
ISIS_1998-09-02,train,0
ISMAEL_1995-09-14,train,1
JAVIER_2016-08-08,train,1
JERRY_1989-10-12,train,1
JIMENA_2009-09-02,train,1
JULIETTE_2001-09-27,train,1
JULIETTE_2013-08-29,train,1
JULIO_2008-08-24,train,1
KARL_2022-10-14,train,1
KAY_2022-09-08,train,0
LARRY_2003-10-04,train,1
LIDIA_2017-08-31,train,1
LIDIA_2023-10-11,train,1
LISA_2022-11-02,train,0
LORENA_2013-09-06,train,1
LOWELL_2008-09-11,train,1
MADELINE_1998-10-18,train,1
MANUEL_2013-09-19,train,1
MARCO_2008-10-07,train,1
MAX_2023-10-09,train,1
MICHAEL_2018-10-07,train,1
MILTON_2024-10-07,train,0
MIRIAM_2006-09-21,train,1
NADINE_2024-10-19,train,1
NARDA_2019-09-30,train,1
NATE_2017-10-07,train,1
NEWTON_2016-09-06,train,1
NORA_1997-09-25,train,1
NORA_2021-08-28,train,1
NORBERT_2008-10-11,train,1
NORBERT_2014-09-06,train,1
NORMAN_2000-09-20,train,1
NORMAN_2012-09-28,train,1
NORMA_1987-09-20,train,1
OCTAVE_2013-10-14,train,1
ODILE_2008-10-10,train,1
OLAF_2003-10-07,train,1
OLAF_2009-10-04,train,1
OLGA_2007-12-15,train,1
ORLENE_2022-10-03,train,1
PAINE_2016-09-21,train,1
PATRICIA_2015-10-23,train,1
PAULA_2010-10-13,train,1
PAULINE_1997-10-08,train,1
PRISCILLA_2019-10-20,train,1
RICK_1997-11-09,train,1
RICK_2009-10-21,train,1
ROSA_2018-10-01,train,1
SERGIO_2018-10-12,train,1
SIMON_2014-10-07,train,1
STAN_2005-10-04,train,1
UNNAMED_1986-09-03,train,1
UNNAMED_1994-08-30,train,1
UNNAMED_1994-09-26,train,1
UNNAMED_1999-07-12,train,1
UNNAMED_2004-10-25,train,1
UNNAMED_2009-06-19,train,1
UNNAMED_2010-07-08,train,1
UNNAMED_2011-10-12,train,0
UNNAMED_2015-09-21,train,1
UNNAMED_2018-09-19,train,1
UNNAMED_2019-10-16,train,1
ZETA_2020-10-27,train,1
ALBERTO_2018-05-25,val,0
BERYL_2000-08-14,val,1
CARLOS_2015-06-16,val,1
CHRIS_2024-07-01,val,1
DOLLY_2014-09-02,val,1
GORDON_2000-09-15,val,1
GREG_1999-09-07,val,1
HANNA_2014-10-22,val,1
IVO_2007-09-24,val,1
JOHN_2006-08-30,val,1
KAREN_2013-10-03,val,1
KATIA_2017-09-08,val,1
KEITH_1988-11-21,val,1
LESTER_1992-08-23,val,1
LORENZO_2007-09-28,val,1
NANA_2020-09-03,val,1
NATE_2011-09-11,val,1
NICHOLAS_2021-09-13,val,1
OLAF_1997-09-28,val,1
OLAF_2021-09-10,val,1
OTIS_2023-10-25,val,1
PAMELA_2021-10-13,val,1
RINA_2011-10-27,val,1
UNNAMED_1999-10-04,val,1
UNNAMED_2013-09-06,val,0
